,name,married,divorced,separated,annulled
395,Marcia_Gay_Harden,1,1,0,0
396,Anna_Paquin,1,0,0,0
397,Marisa_Tomei,0,0,0,0
398,Mercedes_Ruehl,1,0,0,0
399,Brenda_Fricker,1,1,0,0
400,Jean_Reno,3,2,0,0
401,George_Sanders,4,3,0,0
402,Dean_Jagger,3,2,0,0
403,Walter_Huston,3,2,0,0
404,Edmund_Gwenn,0,0,0,0
405,Harold_Russell,2,0,0,0
406,Hugh_Grant,1,0,0,0
407,Barry_Fitzgerald,0,0,0,0
408,Charles_Coburn,2,0,0,0
409,Van_Heflin,2,2,0,0
410,Donald_Crisp,3,2,0,0
411,Thomas_Mitchell,0,0,0,0
412,Walter_Brennan,1,0,0,0
413,Joseph_Schildkraut,3,1,0,0
414,Keanu_Reeves,0,0,0,0
415,Channing_Tatum,1,1,0,0
416,Hugh_Jackman,1,0,0,0
417,Dwayne_Johnson,2,1,0,0
418,Adam_Sandler,1,0,0,0
419,Daniel_Radcliffe,0,0,0,0
420,Daniel_Craig,2,1,0,0
421,Henry_Cavill,0,0,0,0
422,Vin_Diesel,0,0,0,0
423,Ben_Affleck,1,1,0,0
424,Chris_Pine,0,0,0,0
425,Olympia_Dukakis,1,0,0,0
426,Peggy_Ashcroft,3,3,0,0
427,Linda_Hunt,1,0,0,0
428,Maureen_Stapleton,2,2,0,0
429,Mary_Steenburgen,2,1,0,0
430,Beatrice_Straight,2,1,0,0
431,Vanessa_Redgrave,2,1,0,0
432,Lee_Grant,2,1,0,0
433,Eileen_Heckart,1,0,0,0
434,Cloris_Leachman,1,1,0,0
435,Ruth_Gordon,2,0,0,0
436,Estelle_Parsons,2,1,0,0
437,Sandy_Dennis,0,0,0,0
438,Shelley_Winters,4,3,0,0
439,Maggie_Gyllenhaal,1,0,0,0
440,Katie_Holmes,1,1,0,0
441,Patty_Duke,4,2,0,0
442,Rita_Moreno,1,0,0,0
443,Wendy_Hiller,1,0,0,0
444,Miyoshi_Umeki,2,1,0,0
445,Dorothy_Malone,3,2,0,1
446,Jo_Van_Fleet,1,0,0,0
447,Eva_Marie_Saint,1,0,0,0
448,Gloria_Grahame,4,4,0,0
449,Kim_Hunter,2,1,0,0
450,Lee_J._Cobb,2,1,0,0
451,Andrew_Garfield,0,0,0,0
452,John_Cazale,0,0,0,0
453,Jeremy_Renner,1,1,0,0
454,Steve_Carell,1,0,0,0
455,Jean_Dujardin,2,2,0,0
456,Chris_Evans,0,0,0,0
457,James_Franco,0,0,0,0
458,Zach_Galifianakis,1,0,0,0
459,Will_Ferrell,1,0,0,0
460,Shia_LaBeouf,0,0,0,0
461,Seth_Rogen,1,0,0,0
462,Joseph_Gordon-Levitt,1,0,0,0
463,Ryan_Reynolds,2,1,0,0
464,Paul_Rudd,1,0,0,0
465,Jason_Segel,0,0,0,0
466,Jason_Statham,0,0,0,0
467,Dick_Van_Dyke,2,1,0,0
468,Jesse_Eisenberg,1,0,0,0
469,Owen_Wilson,0,0,0,0
470,Jason_Bateman,1,0,0,0
471,Tyler_Perry,0,0,0,0
472,Liam_Hemsworth,1,1,0,0
473,William_Shatner,4,3,0,0
474,Gene_Wilder,4,2,0,0
475,Thora_Birch,0,0,0,0
476,Claire_Trevor,3,2,0,0
477,Celeste_Holm,5,3,0,0
478,Anne_Baxter,3,2,0,0
479,Queen_Latifah,0,0,0,0
480,Ethel_Barrymore,1,1,0,0
481,Rosario_Dawson,0,0,0,0
482,Teresa_Wright,2,2,0,0
483,Mary_Astor,4,3,0,0
484,Jane_Darwell,0,0,0,0
485,Alicia_Vikander,1,0,0,0
486,Mia_Wasikowska,0,0,0,0
487,Abigail_Breslin,0,0,0,0
488,Gale_Sondergaard,2,1,0,0
489,Melissa_McCarthy,1,0,0,0
490,Tina_Fey,1,0,0,0
491,Zoe_Saldana,1,0,0,0
492,Elisabeth_Moss,1,1,0,0
493,Adrianne_Palicki,1,0,1,0
494,Jennifer_Garner,2,2,0,0
495,Kristen_Wiig,2,1,0,0
496,June_Squibb,2,1,0,0
497,Sally_Hawkins,0,0,0,0
498,Kaley_Cuoco,2,1,1,0
499,Naomi_Watts,0,0,0,0
500,Robert_Pattinson,0,0,0,0
501,Charlie_Hunnam,1,1,0,0
502,Nicholas_Hoult,0,0,0,0
503,Aaron_Taylor-Johnson,1,0,0,0
504,Bryan_Cranston,2,1,0,0
505,Gerard_Butler,0,0,0,0
506,Paul_Walker,0,0,0,0
507,Karl_Urban,1,0,1,0
508,Logan_Lerman,0,0,0,0
509,Dave_Franco,1,0,0,0
510,Tom_Hiddleston,0,0,0,0
511,Peter_Dinklage,1,0,0,0
512,Taylor_Kitsch,0,0,0,0
513,Edward_Norton,1,0,0,0
514,Guy_Pearce,1,1,0,0
515,Mark_Ruffalo,1,0,0,0
516,Mickey_Rourke,2,2,0,0
517,Frank_Langella,1,1,0,0
518,Eddie_Redmayne,1,0,0,0
519,David_Strathairn,1,0,0,0
520,Terrence_Howard,4,4,0,0
521,Ralph_Fiennes,1,1,0,0
522,Tom_Wilkinson,1,0,0,0
523,Richard_Farnsworth,1,0,0,0
524,Nick_Nolte,4,3,0,0
525,AnnaSophia_Robb,0,0,0,0
526,Gemma_Arterton,2,1,0,0
527,Olivia_Wilde,1,1,0,0
528,Isla_Fisher,1,0,0,0
529,Shailene_Woodley,0,0,0,0
530,Rebel_Wilson,0,0,0,0
531,Emma_Roberts,0,0,0,0
532,Amber_Heard,1,1,0,0
533,Teresa_Palmer,1,0,0,0
534,Saoirse_Ronan,0,0,0,0
535,Elizabeth_Banks,1,0,0,0
536,Ida_Lupino,3,3,0,0
537,Natalie_Dormer,0,0,0,0
538,Brittany_Snow,1,0,0,0
539,Kate_Mara,1,0,0,0
540,Julianne_Hough,1,1,0,0
541,Lily_Collins,1,0,0,0
542,Cobie_Smulders,1,0,0,0
543,Alice_Eve,1,1,0,0
544,Jamie_Chung,1,0,0,0
545,Noomi_Rapace,1,1,0,0
546,Blake_Lively,1,0,0,0
547,Maggie_Grace,1,0,0,0
548,Jessica_Biel,1,0,0,0
549,Eva_Green,0,0,0,0
550,Peter_Fonda,3,2,0,0
551,Woody_Harrelson,2,1,0,0
552,Billy_Bob_Thornton,6,5,0,0
553,Idris_Elba,3,1,0,1
554,Nigel_Hawthorne,0,0,0,0
555,Laurence_Fishburne,2,1,0,0
556,Stephen_Rea,1,1,0,0
557,Warren_Beatty,1,0,0,0
558,Richard_Harris,2,2,0,0
559,John_Cusack,0,0,0,0
560,Kenneth_Branagh,2,1,0,0
561,Edward_James_Olmos,3,2,0,0
562,Max_von_Sydow,2,1,0,0
563,Bruce_Dern,3,2,0,0
564,Bob_Hoskins,2,1,0,0
565,James_Woods,2,2,0,0
566,John_Hawkes,0,0,0,0
567,James_Garner,1,0,0,0
568,Sam_Waterston,2,1,0,0
569,Tom_Hulce,0,0,0,0
570,Albert_Finney,3,2,0,0
571,Tom_Conti,1,0,0,0
572,Tom_Courtenay,1,1,0,0
573,Dudley_Moore,4,4,0,0
574,John_Hurt,4,3,0,0
575,Kat_Dennings,0,0,0,0
576,Priyanka_Chopra_Jonas,1,0,0,0
577,Emmanuelle_Riva,0,0,0,0
578,Greta_Gerwig,0,0,0,0
579,Brie_Larson,0,0,0,0
580,Jessica_Lucas,0,0,0,0
581,Maria_Falconetti,0,0,0,0
582,Greer_Garson,3,2,0,0
583,Rosalind_Russell,1,0,0,0
584,Raquel_Welch,4,4,0,0
585,Linda_Fiorentino,0,1,0,0
586,Gabourey_Sidibe,0,0,0,0
587,Judy_Davis,1,0,0,0
588,Mia_Farrow,2,2,0,0
589,Audrey_Tautou,0,0,0,0
590,Jeanne_Moreau,2,2,0,0
591,Jane_Wyman,5,5,0,0
592,Gena_Rowlands,2,0,0,0
593,Lesley_Manville,2,2,0,0
594,Elizabeth_Olsen,1,0,0,0
595,Nastassja_Kinski,1,1,0,0
596,Mélanie_Laurent,0,0,0,0
597,Whitney_Houston,1,1,0,0
598,Felicity_Huffman,1,0,0,0
599,Imelda_Staunton,1,0,0,0
600,Oscar_Isaac,1,0,0,0
601,Jon_Heder,1,0,0,0
602,Miles_Teller,1,0,0,0
603,Daniel_Brühl,1,0,0,0
604,James_Gandolfini,2,1,0,0
605,Michael_B._Jordan,0,0,0,0
606,Anthony_Perkins,1,0,0,0
607,David_Thewlis,2,1,0,0
608,Klaus_Kinski,3,3,0,0
609,Malcolm_McDowell,3,2,0,0
610,Ray_Winstone,1,0,0,0
611,Jean-Paul_Belmondo,2,2,0,0
612,Andy_Serkis,1,0,0,0
613,Matthew_Broderick,1,0,0,0
614,Dennis_Hopper,5,4,0,0
615,Michael_Rooker,1,0,0,0
616,Vincent_Gallo,0,0,0,0
617,Kevin_Spacey,0,0,0,0
618,Vincent_Cassel,2,0,0,0
619,J.K._Simmons,1,0,0,0
620,Boris_Karloff,6,5,0,0
621,Peter_Lorre,3,2,0,0
622,Matthew_McConaughey,1,0,0,0
623,Paddy_Considine,1,0,0,0
624,Ryan_Phillippe,1,1,0,0
625,Kerry_Washington,1,0,0,0
626,Carrie-Anne_Moss,1,0,0,0
627,Janet_Leigh,4,2,0,0
628,Catalina_Sandino_Moreno,0,0,0,0
629,Samantha_Morton,0,0,0,0
630,Keisha_Castle-Hughes,2,1,0,0
631,Barbara_Stanwyck,2,2,0,0
632,Joan_Allen,1,1,0,0
633,Janet_McTeer,1,0,0,0
634,Fernanda_Montenegro,1,0,0,0
635,Kristin_Scott_Thomas,1,1,0,0
636,Brenda_Blethyn,2,1,0,0
637,Elisabeth_Shue,1,0,0,0
638,Miranda_Richardson,0,0,0,0
639,Stockard_Channing,5,4,0,0
640,Luise_Rainer,2,1,0,0
641,Mary_McDonnell,1,0,1,0
642,Lucille_Ball,2,1,0,0
643,Laura_Dern,1,1,0,0
644,Pauline_Collins,1,0,0,0
645,Isabelle_Adjani,0,0,0,0
646,Melanie_Griffith,4,4,0,0
647,Sally_Kirkland,0,0,0,0
648,Jane_Alexander,2,1,0,0
649,Marsha_Mason,2,2,0,0
650,Freddie_Highmore,0,0,0,0
651,Michael_J._Fox,1,0,0,0
652,John_Travolta,1,0,0,0
653,Chow_Yun-Fat,2,1,0,0
654,Seth_MacFarlane,0,0,0,0
655,Jet_Li,2,1,0,0
656,John_Houseman,2,1,0,0
657,Chuck_Norris,2,1,0,0
658,Jean-Claude_Van_Damme,5,4,0,0
659,Sam_Rockwell,0,0,0,0
660,Takashi_Shimura,0,0,0,0
661,Richard_E._Grant,1,0,0,0
662,Leslie_Nielsen,4,3,0,0
663,Simon_Pegg,1,0,0,0
664,John_Malkovich,1,1,0,0
665,Michael_Shannon,1,0,0,0
666,Martin_Sheen,1,0,0,0
667,Christopher_Guest,1,0,0,0
668,Alan_Rickman,1,0,0,0
669,Jackie_Earle_Haley,3,2,0,0
670,Gig_Young,5,3,0,0
671,James_Spader,1,1,0,0
672,Eric_Bana,1,0,0,0
673,Romain_Duris,0,0,0,0
674,Robert_Shaw,0,0,0,0
675,Jacki_Weaver,4,3,3,0
676,Bérénice_Bejo,0,0,0,0
677,Hailee_Steinfeld,0,0,0,0
678,Jennifer_Jason_Leigh,1,1,0,0
679,Kathleen_Quinlan,2,0,0,0
680,Taraji_P._Henson,0,0,0,0
681,Amy_Ryan,1,0,0,0
682,Ruby_Dee,1,0,0,0
683,Jill_Clayburgh,1,0,0,0
684,Adriana_Barraza,2,1,0,0
685,Rinko_Kikuchi,1,0,0,0
686,Catherine_Keener,1,1,0,0
687,Charlotte_Rampling,2,2,0,0
688,Sophie_Okonedo,0,0,0,0
689,Patricia_Clarkson,0,0,0,0
690,Shohreh_Aghdashloo,2,1,0,0
691,Lindsay_Lohan,0,0,0,0
692,Michelle_Trachtenberg,0,0,0,0
693,Chloë_Sevigny,1,0,0,0
694,Lynn_Redgrave,1,1,0,0
695,Rachel_Griffiths,1,0,0,0
696,Margot_Robbie,1,0,0,0
697,Lili_Taylor,1,0,0,0
698,Robin_Weigert,0,0,0,0
699,Lake_Bell,1,0,1,0
700,Claude_Rains,6,5,0,0
701,Steve_Buscemi,1,0,0,0
702,John_Rhys-Davies,1,0,1,0
703,Jean-Louis_Trintignant,3,0,0,0
704,Joseph_Cotten,2,0,0,0
705,Barry_Pepper,1,0,0,0
706,Erich_von_Stroheim,3,2,0,0
707,Patrick_Wilson,0,0,0,0
708,Christopher_Lloyd,5,4,0,0
709,Ben_Foster,0,0,0,0
710,Joel_McCrea,1,0,0,0
711,Choi_Min-sik,0,0,0,0
712,Ewan_McGregor,1,1,0,0
713,Gael_García_Bernal,0,0,0,0
714,Bruno_Ganz,1,0,0,0
715,Sean_Astin,1,0,0,0
716,Irrfan_Khan,1,0,0,0
717,Michael_C._Hall,3,2,0,0
718,Roy_Scheider,2,1,0,0
719,Casey_Affleck,1,1,0,0
720,Gary_Busey,2,2,0,0
721,Norman_Reedus,0,0,0,0
722,Jeff_Daniels,1,0,0,0
723,Stanley_Tucci,2,0,0,0
724,Kiefer_Sutherland,2,2,0,0
725,Michelle_Yeoh,1,1,0,0
726,Léa_Seydoux,0,0,0,0
727,Dakota_Johnson,0,0,0,0
728,Julie_Delpy,1,0,0,0
729,Linda_Hamilton,2,2,0,0
730,Carrie_Fisher,1,1,0,0
731,Pam_Grier,0,0,0,0
732,Björk,1,1,0,0
733,Emily_Browning,0,0,0,0
734,Juliette_Lewis,1,1,0,0
735,Sarah_Jessica_Parker,1,0,0,0
736,Piper_Laurie,1,1,0,0
737,Miley_Cyrus,1,1,0,0
738,Lily_Tomlin,1,0,0,0
739,Jane_Seymour,1,0,0,0
740,Gloria_Stuart,2,1,0,0
741,Talia_Shire,2,1,0,0
742,Gal_Gadot,1,0,0,0
743,Sue_Lyon,5,5,0,0
744,Olivia_Newton-John,2,1,0,0
745,Minnie_Driver,0,0,0,0
746,Teri_Garr,1,1,0,0
747,Keri_Russell,1,1,0,0
748,Jean_Seberg,3,2,0,0
749,Sarah_Polley,2,1,0,0
750,Josh_Brolin,3,2,0,0
751,Hal_Holbrook,3,2,0,0
752,Djimon_Hounsou,0,0,0,0
753,Matt_Dillon,0,0,0,0
754,Alan_Alda,1,0,0,0
755,Thomas_Haden_Church,0,0,0,0
756,Clive_Owen,1,0,0,0
757,Ken_Watanabe,2,2,0,0
758,Suraj_Sharma,0,0,0,0
759,John_C._Reilly,1,0,0,0
760,Michael_Clarke_Duncan,0,0,0,0
761,Haley_Joel_Osment,0,0,0,0
762,Greg_Kinnear,1,0,0,0
763,Burt_Reynolds,2,2,0,0
764,Robert_Forster,2,2,0,0
765,Jason_Schwartzman,1,0,0,0
766,William_H._Macy,1,0,0,0
767,Armin_Mueller-Stahl,2,0,0,0
768,Tim_Roth,1,0,0,0
769,James_Cromwell,3,2,0,0
770,Chazz_Palminteri,1,0,0,0
771,Gary_Sinise,1,0,0,0
772,Paul_Scofield,1,0,0,0
773,Pete_Postlethwaite,1,0,0,0
774,Hugo_Weaving,0,0,0,0
775,Jada_Pinkett_Smith,1,0,0,0
776,Tatum_O'Neal,1,1,0,0
