,rank,name,imdb_stub_link,imdb_full_link
50,651.,Freddie Highmore,/name/nm0383603,https://www.imdb.com/name/nm0383603
51,652.,Michael J. Fox,/name/nm0000150,https://www.imdb.com/name/nm0000150
52,653.,John Travolta,/name/nm0000237,https://www.imdb.com/name/nm0000237
53,654.,Chow Yun-Fat,/name/nm0000334,https://www.imdb.com/name/nm0000334
54,655.,Seth MacFarlane,/name/nm0532235,https://www.imdb.com/name/nm0532235
55,656.,Jet Li,/name/nm0001472,https://www.imdb.com/name/nm0001472
56,657.,John Houseman,/name/nm0002144,https://www.imdb.com/name/nm0002144
57,658.,Chuck Norris,/name/nm0001569,https://www.imdb.com/name/nm0001569
58,659.,Jean-Claude Van Damme,/name/nm0000241,https://www.imdb.com/name/nm0000241
59,660.,Sam Rockwell,/name/nm0005377,https://www.imdb.com/name/nm0005377
60,661.,Takashi Shimura,/name/nm0793766,https://www.imdb.com/name/nm0793766
61,662.,Richard E. Grant,/name/nm0001290,https://www.imdb.com/name/nm0001290
62,663.,Leslie Nielsen,/name/nm0000558,https://www.imdb.com/name/nm0000558
63,664.,Simon Pegg,/name/nm0670408,https://www.imdb.com/name/nm0670408
64,665.,John Malkovich,/name/nm0000518,https://www.imdb.com/name/nm0000518
65,666.,Michael Shannon,/name/nm0788335,https://www.imdb.com/name/nm0788335
66,667.,Martin Sheen,/name/nm0000640,https://www.imdb.com/name/nm0000640
67,668.,Christopher Guest,/name/nm0001302,https://www.imdb.com/name/nm0001302
68,669.,Alan Rickman,/name/nm0000614,https://www.imdb.com/name/nm0000614
69,670.,Jackie Earle Haley,/name/nm0355097,https://www.imdb.com/name/nm0355097
70,671.,Gig Young,/name/nm0949574,https://www.imdb.com/name/nm0949574
71,672.,James Spader,/name/nm0000652,https://www.imdb.com/name/nm0000652
72,673.,Eric Bana,/name/nm0051509,https://www.imdb.com/name/nm0051509
73,674.,Romain Duris,/name/nm0244151,https://www.imdb.com/name/nm0244151
74,675.,Robert Shaw,/name/nm0001727,https://www.imdb.com/name/nm0001727
75,676.,Jacki Weaver,/name/nm0915865,https://www.imdb.com/name/nm0915865
76,677.,Bérénice Bejo,/name/nm0067367,https://www.imdb.com/name/nm0067367
77,678.,Hailee Steinfeld,/name/nm2794962,https://www.imdb.com/name/nm2794962
78,679.,Jennifer Jason Leigh,/name/nm0000492,https://www.imdb.com/name/nm0000492
79,680.,Kathleen Quinlan,/name/nm0000599,https://www.imdb.com/name/nm0000599
80,681.,Taraji P. Henson,/name/nm0378245,https://www.imdb.com/name/nm0378245
81,682.,Amy Ryan,/name/nm0752407,https://www.imdb.com/name/nm0752407
82,683.,Ruby Dee,/name/nm0002039,https://www.imdb.com/name/nm0002039
83,684.,Jill Clayburgh,/name/nm0001049,https://www.imdb.com/name/nm0001049
84,685.,Adriana Barraza,/name/nm0056770,https://www.imdb.com/name/nm0056770
85,686.,Rinko Kikuchi,/name/nm0452860,https://www.imdb.com/name/nm0452860
86,687.,Catherine Keener,/name/nm0001416,https://www.imdb.com/name/nm0001416
87,688.,Charlotte Rampling,/name/nm0001648,https://www.imdb.com/name/nm0001648
88,689.,Sophie Okonedo,/name/nm0645683,https://www.imdb.com/name/nm0645683
89,690.,Patricia Clarkson,/name/nm0165101,https://www.imdb.com/name/nm0165101
90,691.,Shohreh Aghdashloo,/name/nm0013037,https://www.imdb.com/name/nm0013037
91,692.,Lindsay Lohan,/name/nm0517820,https://www.imdb.com/name/nm0517820
92,693.,Michelle Trachtenberg,/name/nm0005502,https://www.imdb.com/name/nm0005502
93,694.,Chloë Sevigny,/name/nm0001721,https://www.imdb.com/name/nm0001721
94,695.,Lynn Redgrave,/name/nm0001655,https://www.imdb.com/name/nm0001655
95,696.,Rachel Griffiths,/name/nm0341737,https://www.imdb.com/name/nm0341737
96,697.,Margot Robbie,/name/nm3053338,https://www.imdb.com/name/nm3053338
97,698.,Lili Taylor,/name/nm0000666,https://www.imdb.com/name/nm0000666
