,Unnamed: 0,rank,name,imdb_stub_link,imdb_full_link,wikipedia_url
464,64,465.,Paul Rudd,/name/nm0748620,https://www.imdb.com/name/nm0748620,https://en.wikipedia.org/wiki/Paul_Rudd
465,65,466.,Jason Segel,/name/nm0781981,https://www.imdb.com/name/nm0781981,https://en.wikipedia.org/wiki/Jason_Segel
466,66,467.,Jason Statham,/name/nm0005458,https://www.imdb.com/name/nm0005458,https://en.wikipedia.org/wiki/Jason_Statham
467,67,468.,Dick Van Dyke,/name/nm0001813,https://www.imdb.com/name/nm0001813,https://en.wikipedia.org/wiki/Dick_Van_Dyke
468,68,469.,Jesse Eisenberg,/name/nm0251986,https://www.imdb.com/name/nm0251986,https://en.wikipedia.org/wiki/Jesse_Eisenberg
469,69,470.,Owen Wilson,/name/nm0005562,https://www.imdb.com/name/nm0005562,https://en.wikipedia.org/wiki/Owen_Wilson
470,70,471.,Jason Bateman,/name/nm0000867,https://www.imdb.com/name/nm0000867,https://en.wikipedia.org/wiki/Jason_Bateman
471,71,472.,Tyler Perry,/name/nm1347153,https://www.imdb.com/name/nm1347153,https://en.wikipedia.org/wiki/Tyler_Perry
472,72,473.,Liam Hemsworth,/name/nm2955013,https://www.imdb.com/name/nm2955013,https://en.wikipedia.org/wiki/Liam_Hemsworth
473,73,474.,William Shatner,/name/nm0000638,https://www.imdb.com/name/nm0000638,https://en.wikipedia.org/wiki/William_Shatner
474,74,475.,Gene Wilder,/name/nm0000698,https://www.imdb.com/name/nm0000698,https://en.wikipedia.org/wiki/Gene_Wilder
475,75,476.,Thora Birch,/name/nm0000301,https://www.imdb.com/name/nm0000301,https://en.wikipedia.org/wiki/Thora_Birch
476,76,477.,Claire Trevor,/name/nm0872456,https://www.imdb.com/name/nm0872456,https://en.wikipedia.org/wiki/Claire_Trevor
477,77,478.,Celeste Holm,/name/nm0002141,https://www.imdb.com/name/nm0002141,https://en.wikipedia.org/wiki/Celeste_Holm
478,78,479.,Anne Baxter,/name/nm0000879,https://www.imdb.com/name/nm0000879,https://en.wikipedia.org/wiki/Anne_Baxter
479,79,480.,Queen Latifah,/name/nm0001451,https://www.imdb.com/name/nm0001451,https://en.wikipedia.org/wiki/Queen_Latifah
480,80,481.,Ethel Barrymore,/name/nm0000856,https://www.imdb.com/name/nm0000856,https://en.wikipedia.org/wiki/Ethel_Barrymore
481,81,482.,Rosario Dawson,/name/nm0206257,https://www.imdb.com/name/nm0206257,https://en.wikipedia.org/wiki/Rosario_Dawson
482,82,483.,Teresa Wright,/name/nm0942863,https://www.imdb.com/name/nm0942863,https://en.wikipedia.org/wiki/Teresa_Wright
483,83,484.,Mary Astor,/name/nm0000802,https://www.imdb.com/name/nm0000802,https://en.wikipedia.org/wiki/Mary_Astor
484,84,485.,Jane Darwell,/name/nm0002034,https://www.imdb.com/name/nm0002034,https://en.wikipedia.org/wiki/Jane_Darwell
485,85,486.,Alicia Vikander,/name/nm2539953,https://www.imdb.com/name/nm2539953,https://en.wikipedia.org/wiki/Alicia_Vikander
486,86,487.,Mia Wasikowska,/name/nm1985859,https://www.imdb.com/name/nm1985859,https://en.wikipedia.org/wiki/Mia_Wasikowska
487,87,488.,Abigail Breslin,/name/nm1113550,https://www.imdb.com/name/nm1113550,https://en.wikipedia.org/wiki/Abigail_Breslin
488,88,489.,Gale Sondergaard,/name/nm0814216,https://www.imdb.com/name/nm0814216,https://en.wikipedia.org/wiki/Gale_Sondergaard
489,89,490.,Melissa McCarthy,/name/nm0565250,https://www.imdb.com/name/nm0565250,https://en.wikipedia.org/wiki/Melissa_McCarthy
490,90,491.,Tina Fey,/name/nm0275486,https://www.imdb.com/name/nm0275486,https://en.wikipedia.org/wiki/Tina_Fey
491,91,492.,Zoe Saldana,/name/nm0757855,https://www.imdb.com/name/nm0757855,https://en.wikipedia.org/wiki/Zoe_Saldana
492,92,493.,Elisabeth Moss,/name/nm0005253,https://www.imdb.com/name/nm0005253,https://en.wikipedia.org/wiki/Elisabeth_Moss
493,93,494.,Adrianne Palicki,/name/nm1597316,https://www.imdb.com/name/nm1597316,https://en.wikipedia.org/wiki/Adrianne_Palicki
494,94,495.,Jennifer Garner,/name/nm0004950,https://www.imdb.com/name/nm0004950,https://en.wikipedia.org/wiki/Jennifer_Garner
495,95,496.,Kristen Wiig,/name/nm1325419,https://www.imdb.com/name/nm1325419,https://en.wikipedia.org/wiki/Kristen_Wiig
496,96,497.,June Squibb,/name/nm0820053,https://www.imdb.com/name/nm0820053,https://en.wikipedia.org/wiki/June_Squibb
497,97,498.,Sally Hawkins,/name/nm1020089,https://www.imdb.com/name/nm1020089,https://en.wikipedia.org/wiki/Sally_Hawkins
498,98,499.,Kaley Cuoco,/name/nm0192505,https://www.imdb.com/name/nm0192505,https://en.wikipedia.org/wiki/Kaley_Cuoco
499,99,500.,Naomi Watts,/name/nm0915208,https://www.imdb.com/name/nm0915208,https://en.wikipedia.org/wiki/Naomi_Watts
500,0,501.,Robert Pattinson,/name/nm1500155,https://www.imdb.com/name/nm1500155,https://en.wikipedia.org/wiki/Robert_Pattinson
501,1,502.,Charlie Hunnam,/name/nm0402271,https://www.imdb.com/name/nm0402271,https://en.wikipedia.org/wiki/Charlie_Hunnam
502,2,503.,Nicholas Hoult,/name/nm0396558,https://www.imdb.com/name/nm0396558,https://en.wikipedia.org/wiki/Nicholas_Hoult
503,3,504.,Aaron Taylor-Johnson,/name/nm1093951,https://www.imdb.com/name/nm1093951,https://en.wikipedia.org/wiki/Aaron_Taylor-Johnson
504,4,505.,Bryan Cranston,/name/nm0186505,https://www.imdb.com/name/nm0186505,https://en.wikipedia.org/wiki/Bryan_Cranston
505,5,506.,Gerard Butler,/name/nm0124930,https://www.imdb.com/name/nm0124930,https://en.wikipedia.org/wiki/Gerard_Butler
506,6,507.,Paul Walker,/name/nm0908094,https://www.imdb.com/name/nm0908094,https://en.wikipedia.org/wiki/Paul_Walker
507,7,508.,Karl Urban,/name/nm0881631,https://www.imdb.com/name/nm0881631,https://en.wikipedia.org/wiki/Karl_Urban
508,8,509.,Logan Lerman,/name/nm0503567,https://www.imdb.com/name/nm0503567,https://en.wikipedia.org/wiki/Logan_Lerman
509,9,510.,Dave Franco,/name/nm2002649,https://www.imdb.com/name/nm2002649,https://en.wikipedia.org/wiki/Dave_Franco
510,10,511.,Tom Hiddleston,/name/nm1089991,https://www.imdb.com/name/nm1089991,https://en.wikipedia.org/wiki/Tom_Hiddleston
511,11,512.,Peter Dinklage,/name/nm0227759,https://www.imdb.com/name/nm0227759,https://en.wikipedia.org/wiki/Peter_Dinklage
